"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://heartlandk9s.org/","text/html; charset=UTF-8","200","OK","Indexable","","Heartland Canines for Veterans – Providing Service Dogs To Eligible Disabled Veterans – So They Never Walk Alone","112","1031","EMAIL info@heartlandk9s.org PHONE 800-913-6189 HOURS 8:00am - 5:00pm HOW IT WORKS At Heartland Canines for Veterans, we are driven by a single goal; to do our p","160","1060","EMAIL 

info@heartlandk9s.org  
PHONE 

800-913-6189  
HOURS 

8:00am - 5:00pm    HOW IT WORKS","102","586","","0","So they never walk alone","24","HOW IT WORKS","12","WHAT WE DO","10","","0","max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://heartlandk9s.org/","","","","","","124626","23174","23174","3.434","","573","109","5.257","75.854","Fairly Easy","2.921","0","0","","33","19","0","100.000","30","22","0","3","3","0","","","","","e5464154631d2f65f96b78ef3b354ec0","0.743","","","","","en-US","1.1","","","","","","https://heartlandk9s.org/","2026-09-13 10:31:45"
"https://heartlandk9s.org/wp-content/plugins/fusion-builder/assets/js/min/general/fusion-container.js?ver=3.16.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4663","4663","4663","0.691","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.279","Wed, 26 Aug 2026 02:51:23 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/plugins/fusion-builder/assets/js/min/general/fusion-container.js?ver=3.16.1","2026-09-13 10:31:46"
"https://heartlandk9s.org/wp-content/themes/Avada/assets/min/js/general/avada-quantity.js?ver=7.16.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","836","836","836","0.124","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.279","Wed, 26 Aug 2026 02:51:14 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/themes/Avada/assets/min/js/general/avada-quantity.js?ver=7.16.1","2026-09-13 10:31:46"
"https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/library/fusion-video-bg.js?ver=1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1674","1674","1674","0.248","","0","","","","","0.000","1","9","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.279","Wed, 26 Aug 2026 02:51:14 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/library/fusion-video-bg.js?ver=1","2026-09-13 10:31:46"
"https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/general/fusion-responsive-typography.js?ver=3.16.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1091","1091","1091","0.162","","0","","","","","0.000","1","9","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.257","Wed, 26 Aug 2026 02:51:14 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/general/fusion-responsive-typography.js?ver=3.16.1","2026-09-13 10:31:46"
"https://heartlandk9s.org/wp-content/themes/Avada/assets/min/js/general/avada-live-search.js?ver=7.16.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1274","1274","1274","0.189","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.258","Wed, 26 Aug 2026 02:51:14 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/themes/Avada/assets/min/js/general/avada-live-search.js?ver=7.16.1","2026-09-13 10:31:46"
"https://heartlandk9s.org/back-the-pack/","text/html; charset=UTF-8","200","OK","Indexable","","Back the Pack – Heartland Canines for Veterans","46","430","Back the Pack We would like to send a big thank you to our Back the Pack partners. If you would like the join the pack please contact us for more information or","160","978","Back the Pack    

We would like to send a big thank you to our Back the Pack partners. If you would like the join the pack please contact us for more information or check out our different campaigns below. View Campaigns","223","1344","","0","","0","","0","Back the Pack","13","","0","max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://heartlandk9s.org/back-the-pack/","","","","","","83335","17893","17893","2.652","","57","13","4.385","100.000","Very Easy","0.641","1","1","","22","18","0","94.740","31","27","0","3","3","0","","","","","d6d097406a0f80fc22344cb210ed570f","0.580","","","","","en-US","1.1","","","","","","https://heartlandk9s.org/back-the-pack/","2026-09-13 10:31:46"
"https://heartlandk9s.org/wp-content/plugins/cookie-notice-and-consent-banner//js/cookiebanner.js?ver=1.7.14","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","12799","12799","12799","1.897","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.085","Sun, 22 Mar 2026 20:07:04 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/plugins/cookie-notice-and-consent-banner//js/cookiebanner.js?ver=1.7.14","2026-09-13 10:31:47"
"http://heartlandk9s.org/wp-content/uploads/2025/06/DSC0259-300x200.jpeg","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","795","795","795","0.118","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.169","","https://heartlandk9s.org/wp-content/uploads/2025/06/DSC0259-300x200.jpeg","HTTP Redirect","","","1.1","","","","","","http://heartlandk9s.org/wp-content/uploads/2025/06/DSC0259-300x200.jpeg","2026-09-13 10:31:47"
"http://heartlandk9s.org/volunteer/","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","795","795","795","0.118","","0","","","","","0.000","1","1","","1","1","0","5.260","0","0","0","0","0","0","","","","","","0.169","","https://heartlandk9s.org/volunteer/","HTTP Redirect","","","1.1","","","","","","http://heartlandk9s.org/volunteer/","2026-09-13 10:31:47"
"https://heartlandk9s.org/wp-content/uploads/fusion-styles/2e1c8baa4630096c1ac3e4793f812c56.min.css?ver=3.16.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.259","Wed, 26 Aug 2026 02:51:30 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/uploads/fusion-styles/2e1c8baa4630096c1ac3e4793f812c56.min.css?ver=3.16.1","2026-09-13 10:31:47"
"https://heartlandk9s.org/author/admin/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","2","","11","11","0","57.890","0","0","0","0","0","0","","","","","","0.474","","https://heartlandk9s.org/","HTTP Redirect","","","1.1","","","","","","https://heartlandk9s.org/author/admin/","2026-09-13 10:31:47"
"https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/general/fusion-button.js?ver=7.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","235","235","235","0.035","","0","","","","","0.000","1","9","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.087","Wed, 26 Aug 2026 02:51:14 GMT","","","","","1.1","","","","","","https://heartlandk9s.org/wp-content/themes/Avada/includes/lib/assets/min/js/general/fusion-button.js?ver=7.1","2026-09-13 10:31:47"
